pacote;versao;licenca;categoria;origem_da_informacao;url_da_fonte;embarca_binario;arquivos_no_pacote;bytes_no_pacote
arrow-cpp;25.0.0-1;Apache-2.0;permissiva;repo-oficial (GitHub License API, apache/arrow);https://github.com/apache/arrow;SIM;6;26760192
avce00;2.0.0-5;MIT;permissiva;arquivo de fonte upstream (cabecalho de avce00-2.0.0/avc_e00read.c, tarball que o recipe OSGeo4W baixa);http://avce00.maptools.org/dl/avce00-2.0.0.tar.gz;SIM;3;2780160
base;1.0.0-23;DESCONHECIDA;DESCONHECIDA;NAO ENCONTRADO - sem arquivo de licenca na arvore e sem fonte consultada;;SIM;15;1003603
brotli;1.2.0-1;MIT;permissiva;repo-oficial (GitHub License API, google/brotli);https://github.com/google/brotli;SIM;5;899584
c-blosc;1.21.6-4;BSD License (texto proprio do Blosc);permissiva;repo-oficial (arquivo LICENSE de Blosc/c-blosc);https://github.com/Blosc/c-blosc/blob/main/LICENSE.txt;SIM;1;68608
cairo;1.18.4-1;Dupla: LGPL-2.1 OU MPL-1.1 (a escolha do destinatario);copyleft-fraco;site-oficial;https://www.cairographics.org/;SIM;4;2536448
curl;8.21.0-1;curl License (tipo MIT/X);permissiva;repo-oficial (arquivo COPYING de curl/curl);https://github.com/curl/curl/blob/master/COPYING;SIM;2;1011712
curl-ca-bundle;8.21.0-1;MPL-2.0 (conjunto de CAs da Mozilla, extraido pelo curl);copyleft-fraco;repo-oficial do curl - o conteudo e o CA bundle da Mozilla;https://curl.se/docs/caextract.html;NAO;2;189520
exiv2;0.28.8-1;GPL-2.0-or-later (texto proprio no arquivo COPYING);copyleft-forte;repo-oficial (arquivo COPYING de exiv2/exiv2);https://github.com/exiv2/exiv2/blob/main/COPYING;SIM;2;2569728
expat;2.8.2-1;MIT;permissiva;repo-oficial (GitHub License API, libexpat/libexpat);https://github.com/libexpat/libexpat;SIM;1;166912
freetype;2.13.3-4;MULTIPLA: FreeType License (BSD-style com credito) OU GPL-2.0;permissiva;repo-oficial (arquivo LICENSE.TXT de freetype/freetype);https://gitlab.freedesktop.org/freetype/freetype/-/blob/master/LICENSE.TXT;SIM;1;755200
freexl;2.0.0-4;Tri-licenca MPL-1.1 OU GPL-2.0-or-later OU LGPL-2.1-or-later (a escolha do destinatario);copyleft-fraco;site-oficial do projeto (gaia-gis);https://www.gaia-gis.it/fossil/freexl/index;SIM;1;307200
gdal;3.13.2-1;MIT (nucleo) + BSD-2/BSD-3 e outras em partes;permissiva;site-oficial + arquivo na arvore (apps/gdal/share/gdal/LICENSE.TXT, agregado);https://gdal.org/en/stable/license.html;SIM;404;30263371
gdal-ecw;3.13.2-1;PROPRIETARIA - ERDAS ECW/JP2 SDK (Hexagon). Plugin GDAL sob MIT liga em NCSEcw.dll proprietaria;proprietaria-redistribuicao-condicionada;recipe OSGeo4W confirma SDK de terceiro - EULA do redistribuidor NAO foi obtido nesta fatia;https://gdal.org/en/stable/drivers/raster/ecw.html;SIM;2;7919904
gdal-hdf5;3.13.2-1;MIT (plugin GDAL) - liga em HDF5 (BSD-3 com termos proprios);permissiva;site-oficial (plugin do fonte GDAL);https://gdal.org/en/stable/license.html;SIM;1;1653248
gdal-mrsid;3.13.2-1;PROPRIETARIA - MrSID DSDK (Extensis/LizardTech). Plugin GDAL sob MIT liga em lti_dsdk proprietaria;proprietaria-redistribuicao-condicionada;recipe OSGeo4W baixa de bin.extensis.com - EULA do redistribuidor NAO foi obtido nesta fatia;https://gdal.org/en/stable/drivers/raster/mrsid.html;SIM;5;29061632
gdal-mss;3.13.2-1;MIT (plugin GDAL) - INUTIL sem o msodbcsql proprietario;permissiva;site-oficial (plugin do fonte GDAL) - dependencia medida na tabela de importacao;https://gdal.org/en/stable/drivers/vector/mssqlspatial.html;SIM;1;507904
gdal-oracle;3.13.2-1;PROPRIETARIA na dependencia - plugins GDAL sob MIT ligam em OCI.dll (Oracle Instant Client);proprietaria-redistribuicao-condicionada;recipe OSGeo4W baixa o Instant Client de download.oracle.com - OTN License NAO foi obtida nesta fatia;https://www.oracle.com/database/technologies/instant-client.html;SIM;2;1335296
gdal-sosi;3.13.2-1;MIT (plugin GDAL);permissiva;site-oficial (plugin do fonte GDAL);https://gdal.org/en/stable/license.html;SIM;1;1106944
gdal313-runtime;3.13.2-1;MIT (nucleo) + BSD-2/BSD-3 e outras em partes;permissiva;site-oficial (mesmo fonte do pacote gdal);https://gdal.org/en/stable/license.html;SIM;1;46068224
geos;3.14.1-1;LGPL-2.1;copyleft-fraco;repo-oficial (GitHub License API, libgeos/geos);https://github.com/libgeos/geos/blob/main/COPYING;SIM;4;3559424
gpsbabel;1.9.0-4;GPL-2.0;copyleft-forte;repo-oficial (GitHub License API, gpsbabel/gpsbabel);https://github.com/gpsbabel/gpsbabel;SIM;1;1567232
grass;8.5.0-1;GPL-2.0-or-later;copyleft-forte;site-oficial + arquivo na arvore (apps/grass/grass85/COPYING);https://grass.osgeo.org/about/license/;SIM;6511;362705292
grass8;99-1;GPL-2.0-or-later;copyleft-forte;site-oficial - metapacote VAZIO na arvore;https://grass.osgeo.org/about/license/;NAO;1;0
